"Seção","ID","Pergunta","Resposta Sugerida"
"Informações Gerais","1.1","Qual o nome da sua empresa?","Perceptiva."
"Informações Gerais","1.2","Quanto tempo a empresa está no mercado?","(Preencher com o tempo correto, ex: 5 anos)."
"Informações Gerais","1.3","Quantos funcionários a empresa possui?","(Preencher com o número aproximado, ex: 11-50 funcionários)."
"Informações Gerais","1.4","Quais são os países que a empresa opera?","Brasil (e outros aplicáveis, ex: Estados Unidos)."
"Informações Gerais","1.5","Descreva de forma detalhada, qual o tipo de prestação de serviço que será fornecida à Pottencial Seguradora S/A.","A Perceptiva atua como fornecedora de infraestrutura de conectividade e gerenciamento de APIs (Gateway / Kong). A solução provê roteamento seguro, aplicação de políticas de segurança de rede (Rate Limiting, autenticação de endpoints) e observabilidade do tráfego. Nossa infraestrutura atua como 'pass-through' (repasse) para os payloads das APIs e não armazena nem realiza o tratamento prolongado ou em repouso dos dados de negócio ou dados pessoais dos clientes da Pottencial Seguradora."
"Privacidade e Proteção de Dados","2.1","Se firmada, sua parceria com a Pottencial Seguradora irá efetuar tratamento de dados pessoais?","Não. Nossa solução atua exclusivamente como camada de infraestrutura de rede (API Gateway). Os payloads de requisição e resposta passam de forma efêmera pelo sistema para fins de roteamento, não havendo armazenamento ou análise. O processamento sistêmico é focado em cabeçalhos (headers) criptografados e metadados de tráfego (telemetria)."
"Privacidade e Proteção de Dados","2.3","Haverá tratamento de dados pessoais sensíveis?","Não."
"Privacidade e Proteção de Dados","2.5","Os dados pessoais obtidos da Pottencial serão compartilhados com terceiros?","Não se aplica. Não obtemos nem controlamos dados pessoais em nossas bases."
"Privacidade e Proteção de Dados","2.7","Sua empresa possui Política de Privacidade e Proteção de Dados estabelecida?","Sim. (Ver anexo: Política de Privacidade e Proteção de Dados)."
"Privacidade e Proteção de Dados","2.9","Sua empresa possui processos para registrar as atividades que processam dados pessoais? (Data Mapping)","Sim. O inventário cobre os dados de contato B2B. Em relação à plataforma, possuímos mapeamento formal atestando a isenção do tratamento de dados de clientes na infraestrutura do Gateway. (Anexar o documento de Política gerado)."
"Privacidade e Proteção de Dados","2.10","Inserir evidência para a resposta da pergunta anterior","Ação: Upload do PDF da politica_privacidade_protecao_dados gerada (contendo a Declaração de Isenção de Tratamento)."
"Privacidade e Proteção de Dados","2.11","Sua empresa possui um processo previsto e operante para realização de análises de impacto à privacidade (DPIA)?","Sim. Apesar de não tratarmos dados pessoais no escopo contratado (infraestrutura 'pass-through'), possuímos o processo documentado em nossa Política de Privacidade para projetos internos ou caso o escopo sistêmico evolua."
